,abbreviation,unit-type,comp-address,similarity,beds,baths,sqft,type,monthly-rent,days-ago,price-sqft,dist
0,as185,27201-A1,"6829 E Martin Luther King Jr Blvd, Unit 642
Austin, TX 78721",80.00%,1,1,701,Apartment,1655,118,2.362,1.31
1,as185,27201-A1,"7501 Shelton Ave
Austin, TX 78725",78.10%,1,1,,Single Family,1200,80,,2.06
2,as185,27201-A1,"5232 Hutchinson Dr
Austin, TX 78723",77.50%,2,1,808,Single Family,1800,118,2.232,2.25
3,as185,27201-A1,"6000 Ed Bluestein Blvd, Unit 201
Austin, TX 78723",77.00%,1,1,695,Apartment,1490,1,2.142,2.28
4,as185,27201-A1,"6206 Loyola Ln, Unit 1501
Austin, TX 78724",75.50%,1,1,786,Apartment,948,118,1.212,1.97
5,as185,27201-A1,"Ed Bluestein Blvd, Unit 4217
Austin, TX 78721",75.40%,1,1,527,Apartment,1552,2,2.942,1.9
6,as185,27201-A1,"6829 E Martin Luther King Jr Blvd, Unit 1157
Austin, TX 78721",72.10%,,1,529,Apartment,1396,118,2.642,1.31
7,as185,27201-A1,"8403 Colony Loop Dr, Apt B
Austin, TX 78724",72.10%,2,2,"1,020",Single Family,1150,6,1.132,1.32
8,as185,27201-A1,"8201 Riverstone Dr, Apt D
Austin, TX 78724",67.80%,2,1,780,Condo,1195,118,1.532,1.16
9,as185,27201-A1,"4710 Little Hill Cir
Austin, TX 78725",67.80%,2,2,"1,294",Single Family,2135,204,1.652,1.64
10,as185,27201-A1,"8201 Riverstone Dr, Apt A
Austin, TX 78724",67.80%,2,1,780,Apartment,1195,192,1.532,1.16
11,as185,27201-A1,"8503 Colony Loop Dr
Austin, TX 78724",67.40%,2,1,780,Apartment,995,210,1.282,1.3
12,as185,27201-A1,"8503 Colony Loop Dr, Apt A
Austin, TX 78724",67.40%,2,1,780,Apartment,995,199,1.282,1.3
13,as185,27201-A1,"6800 Wentworth Dr, Unit A
Austin, TX 78724",64.80%,2,1,913,Multi-Family,1350,120,1.482,1.23
14,as185,27201-A1,"5301 Decker Ln
Austin, TX 78724",64.80%,,,,Apartment,1558,2,,0.1
15,as185,27201-A1,"5404 Northdale Dr
Austin, TX 78723",63.30%,3,1,999,Single Family,1650,30,1.652,2.33
16,as185,27201-A1,"10709 Fm 969 Rd
Austin, TX 78724",62.60%,2,2.5,"1,892",Single Family,2750,77,1.452,1.41
17,as185,27201-A1,"8913 Southwick Dr
Austin, TX 78724",62.40%,3,2,"1,203",Single Family,1995,86,1.662,0.39
18,as185,27201-A1,"9217 Southwick Dr
Austin, TX 78724",62.20%,3,2,"1,197",Single Family,1995,45,1.672,0.49
19,as185,27201-A1,"9025 China Rose Dr
Austin, TX 78724",62.10%,3,2,"1,203",Single Family,2000,120,1.662,0.49
20,as185,27201-A2,"5232 Hutchinson Dr
Austin, TX 78723",81.90%,2,1,808,Single Family,1800,118,2.232,2.25
21,as185,27201-A2,"6206 Loyola Ln, Unit 1501
Austin, TX 78724",79.10%,1,1,786,Apartment,948,118,1.212,1.97
22,as185,27201-A2,"6829 E Martin Luther King Jr Blvd, Unit 642
Austin, TX 78721",78.80%,1,1,701,Apartment,1655,118,2.362,1.31
23,as185,27201-A2,"7501 Shelton Ave
Austin, TX 78725",78.10%,1,1,,Single Family,1200,80,,2.06
24,as185,27201-A2,"8403 Colony Loop Dr, Apt B
Austin, TX 78724",75.50%,2,2,"1,020",Single Family,1150,6,1.132,1.32
25,as185,27201-A2,"6000 Ed Bluestein Blvd, Unit 201
Austin, TX 78723",75.50%,1,1,695,Apartment,1490,1,2.142,2.28
26,as185,27201-A2,"Ed Bluestein Blvd, Unit 4217
Austin, TX 78721",71.80%,1,1,527,Apartment,1552,2,2.942,1.9
27,as185,27201-A2,"8201 Riverstone Dr, Apt D
Austin, TX 78724",71.10%,2,1,780,Condo,1195,118,1.532,1.16
28,as185,27201-A2,"8201 Riverstone Dr, Apt A
Austin, TX 78724",71.10%,2,1,780,Apartment,1195,192,1.532,1.16
29,as185,27201-A2,"8503 Colony Loop Dr
Austin, TX 78724",70.70%,2,1,780,Apartment,995,210,1.282,1.3
30,as185,27201-A2,"8503 Colony Loop Dr, Apt A
Austin, TX 78724",70.70%,2,1,780,Apartment,995,199,1.282,1.3
31,as185,27201-A2,"4710 Little Hill Cir
Austin, TX 78725",70.50%,2,2,"1,294",Single Family,2135,204,1.652,1.64
32,as185,27201-A2,"6800 Wentworth Dr, Unit A
Austin, TX 78724",68.60%,2,1,913,Multi-Family,1350,120,1.482,1.23
33,as185,27201-A2,"6829 E Martin Luther King Jr Blvd, Unit 1157
Austin, TX 78721",68.60%,,1,529,Apartment,1396,118,2.642,1.31
34,as185,27201-A2,"5404 Northdale Dr
Austin, TX 78723",66.80%,3,1,999,Single Family,1650,30,1.652,2.33
35,as185,27201-A2,"8913 Southwick Dr
Austin, TX 78724",65.30%,3,2,"1,203",Single Family,1995,86,1.662,0.39
36,as185,27201-A2,"9217 Southwick Dr
Austin, TX 78724",65.10%,3,2,"1,197",Single Family,1995,45,1.672,0.49
37,as185,27201-A2,"9025 China Rose Dr
Austin, TX 78724",65.00%,3,2,"1,203",Single Family,2000,120,1.662,0.49
38,as185,27201-A2,"5625 Signal Pt
Austin, TX 78724",64.90%,3,2,"1,080",Single Family,1595,59,1.482,1.05
39,as185,27201-A2,"5808 Glowing Star Trl
Austin, TX 78724",64.90%,3,2,"1,207",Single Family,2010,1,1.672,0.51
40,as185,27201-B1,"8403 Colony Loop Dr, Apt B
Austin, TX 78724",93.80%,2,2,"1,020",Single Family,1150,6,1.132,1.32
41,as185,27201-B1,"4710 Little Hill Cir
Austin, TX 78725",91.20%,2,2,"1,294",Single Family,2135,204,1.652,1.64
42,as185,27201-B1,"8913 Southwick Dr
Austin, TX 78724",86.40%,3,2,"1,203",Single Family,1995,86,1.662,0.39
43,as185,27201-B1,"9217 Southwick Dr
Austin, TX 78724",86.20%,3,2,"1,197",Single Family,1995,45,1.672,0.49
44,as185,27201-B1,"9025 China Rose Dr
Austin, TX 78724",86.00%,3,2,"1,203",Single Family,2000,120,1.662,0.49
45,as185,27201-B1,"5808 Glowing Star Trl
Austin, TX 78724",85.90%,3,2,"1,207",Single Family,2010,1,1.672,0.51
46,as185,27201-B1,"5301 Decker Ln, Apt 9207
Austin, TX 78724",85.70%,2,2,"1,108",Condo,1779,71,1.612,0.1
47,as185,27201-B1,"8602 FM 969
Austin, TX 78724",85.70%,2,2,"1,109",Apartment,1700,118,1.532,0.09
48,as185,27201-B1,"5709 Levenwood Ln
Austin, TX 78724",85.60%,3,2,"1,207",Single Family,1950,199,1.622,0.58
49,as185,27201-B1,"5625 Signal Pt
Austin, TX 78724",85.50%,3,2,"1,080",Single Family,1595,59,1.482,1.05
50,as185,27201-B1,"5912 Pinon Vista Dr
Austin, TX 78724",83.60%,3,2,"1,230",Single Family,2400,37,1.952,1.09
51,as185,27201-B1,"10709 Fm 969 Rd
Austin, TX 78724",83.40%,2,2.5,"1,892",Single Family,2750,77,1.452,1.41
52,as185,27201-B1,"5407 Garden View Cv
Austin, TX 78724",83.30%,3,2,"1,131",Single Family,1650,195,1.462,1.73
53,as185,27201-B1,"5520 Toscana Ave
Austin, TX 78724",83.00%,3,2,"1,289",Single Family,1900,1,1.472,0.98
54,as185,27201-B1,"5604 Pinon Vista Dr
Austin, TX 78724",82.30%,3,2,"1,320",Single Family,1600,125,1.212,1.05
55,as185,27201-B1,"5913 Alsace Trl
Austin, TX 78724",82.20%,3,2,"1,306",Single Family,1695,1,1.302,1.14
56,as185,27201-B1,"5513 Nelson Oaks Dr
Austin, TX 78724",82.10%,3,2,"1,509",Single Family,2200,150,1.462,0.37
57,as185,27201-B1,"5613 Nelson Oaks Dr
Austin, TX 78724",82.00%,3,2,"1,509",Single Family,2200,186,1.462,0.39
58,as185,27201-B1,"6016 Signal Pt
Austin, TX 78724",82.00%,3,2,"1,320",Single Family,1700,1,1.292,1.17
59,as185,27201-B1,"6025 Signal Pt
Austin, TX 78724",81.90%,3,2,"1,320",Single Family,1695,64,1.282,1.18
60,as185,27201-B2,"4710 Little Hill Cir
Austin, TX 78725",93.70%,2,2,"1,294",Single Family,2135,204,1.652,1.64
61,as185,27201-B2,"8403 Colony Loop Dr, Apt B
Austin, TX 78724",91.40%,2,2,"1,020",Single Family,1150,6,1.132,1.32
62,as185,27201-B2,"8913 Southwick Dr
Austin, TX 78724",87.40%,3,2,"1,203",Single Family,1995,86,1.662,0.39
63,as185,27201-B2,"5808 Glowing Star Trl
Austin, TX 78724",87.00%,3,2,"1,207",Single Family,2010,1,1.672,0.51
64,as185,27201-B2,"9025 China Rose Dr
Austin, TX 78724",87.00%,3,2,"1,203",Single Family,2000,120,1.662,0.49
65,as185,27201-B2,"9217 Southwick Dr
Austin, TX 78724",86.90%,3,2,"1,197",Single Family,1995,45,1.672,0.49
66,as185,27201-B2,"5709 Levenwood Ln
Austin, TX 78724",86.80%,3,2,"1,207",Single Family,1950,199,1.622,0.58
67,as185,27201-B2,"5520 Toscana Ave
Austin, TX 78724",85.60%,3,2,"1,289",Single Family,1900,1,1.472,0.98
68,as185,27201-B2,"5912 Pinon Vista Dr
Austin, TX 78724",85.60%,3,2,"1,230",Single Family,2400,37,1.952,1.09
69,as185,27201-B2,"10709 Fm 969 Rd
Austin, TX 78724",85.10%,2,2.5,"1,892",Single Family,2750,77,1.452,1.41
70,as185,27201-B2,"5604 Pinon Vista Dr
Austin, TX 78724",84.80%,3,2,"1,320",Single Family,1600,125,1.212,1.05
71,as185,27201-B2,"5913 Alsace Trl
Austin, TX 78724",84.80%,3,2,"1,306",Single Family,1695,1,1.302,1.14
72,as185,27201-B2,"6016 Signal Pt
Austin, TX 78724",84.50%,3,2,"1,320",Single Family,1700,1,1.292,1.17
73,as185,27201-B2,"6025 Signal Pt
Austin, TX 78724",84.40%,3,2,"1,320",Single Family,1695,64,1.282,1.18
74,as185,27201-B2,"5513 Nelson Oaks Dr
Austin, TX 78724",84.30%,3,2,"1,509",Single Family,2200,150,1.462,0.37
75,as185,27201-B2,"6041 Signal Pt
Austin, TX 78724",84.30%,3,2,"1,320",Single Family,1650,77,1.252,1.21
76,as185,27201-B2,"5613 Nelson Oaks Dr
Austin, TX 78724",84.20%,3,2,"1,509",Single Family,2200,186,1.462,0.39
77,as185,27201-B2,"9305 Southwick Dr
Austin, TX 78724",83.70%,3,2,"1,516",Single Family,1895,81,1.252,0.52
78,as185,27201-B2,"5901 Nelson Oaks Dr
Austin, TX 78724",83.50%,3,2,"1,532",Single Family,1925,77,1.262,0.54
79,as185,27201-B2,"9000 Tall Sky Trce
Austin, TX 78724",83.40%,3,2,"1,637",Single Family,2000,26,1.222,0.2
80,as163,as1631a1,"1004 W Whitestone Blvd, Unit 142944
Cedar Park, TX 78613",85.50%,1,1,660,Apartment,945,115,1.432,0.15
81,as163,as1631a1,"1004 W Whitestone Blvd, # 142944
Cedar Park, TX 78613",85.50%,1,1,660,Apartment,945,196,1.432,0.15
82,as163,as1631a1,"1201 W Whitestone Crossing Cedar Park
Cedar Park, TX 78613",85.00%,1,1,687,Apartment,1000,196,1.462,0.02
83,as163,as1631a1,"1210 W Whitestone Xing, Unit 232731-687
Austin, TX 78613",84.90%,1,1,687,Apartment,1195,116,1.742,0.07
84,as163,as1631a1,"1201 W Whitestone Blvd
Cedar Park, TX 78613",75.40%,1,1.5,"1,024",Apartment,1257,1,1.232,0.02
85,as163,as1631a1,"1210 W Whitestone Xing, Unit 232731-1024
Austin, TX 78613",75.20%,1,1.5,"1,024",Apartment,1750,116,1.712,0.07
86,as163,as1631a1,"1507 Cedar Park Rd
Cedar Park, TX 78613",66.20%,1,1,"2,864",Apartment,853,1,0.302,0.58
87,as163,as1631a1,"1301 W Whitestone Blvd
Cedar Park, TX 78613",64.60%,,,,Apartment,1086,1,,0.13
88,as163,as1631a1,"1045 Silverstone Ln
Cedar Park, TX 78613",63.80%,3,2,"1,153",Single Family,2000,207,1.732,0.2
89,as163,as1631a1,"1018 Audra St
Cedar Park, TX 78613",63.60%,3,2,"1,165",Single Family,2010,1,1.732,0.21
90,as163,as1631a1,"1006 Reynaldo St
Cedar Park, TX 78613",62.10%,3,2,"1,297",Single Family,1555,10,1.202,0.27
91,as163,as1631a1,"1201 Brashear Ln
Cedar Park, TX 78613",61.80%,3,2,"1,343",Single Family,1750,58,1.302,0.23
92,as163,as1631a1,"800 Lone Star Dr
Cedar Park, TX 78613",61.70%,3,2,"1,253",Single Family,1900,207,1.522,0.49
93,as163,as1631a1,"1047 Silverstone Ln
Cedar Park, TX 78613",61.70%,3,2,"1,368",Single Family,1850,121,1.352,0.2
94,as163,as1631a1,"601 Doris Ln
Cedar Park, TX 78613",61.40%,1,1,"33,320",Apartment,1325,1,0.042,0.57
95,as163,as1631a1,"2006 Coachlamp Dr
Cedar Park, TX 78613",61.30%,3,2,"1,180",Single Family,1795,14,1.522,0.88
96,as163,as1631a1,"1101 Doris Ln
Cedar Park, TX 78613",61.20%,3,2,"1,316",Single Family,1900,196,1.442,0.47
97,as163,as1631a1,"703 Blue Oak Cir
Cedar Park, TX 78613",61.20%,3,2,"1,303",Single Family,1785,206,1.372,0.52
98,as163,as1631a1,"1004 W Whitestone Blvd, Unit 142820
Cedar Park, TX 78613",60.50%,2,2,"1,150",Apartment,1450,115,1.262,0.15
99,as163,as1631a1,"1004 W Whitestone Blvd, # 142820
Cedar Park, TX 78613",60.50%,2,2,"1,150",Apartment,1450,196,1.262,0.15
100,as163,as1631a2,"1201 W Whitestone Crossing Cedar Park
Cedar Park, TX 78613",85.90%,1,1,687,Apartment,1000,196,1.462,0.02
101,as163,as1631a2,"1210 W Whitestone Xing, Unit 232731-687
Austin, TX 78613",85.80%,1,1,687,Apartment,1195,116,1.742,0.07
102,as163,as1631a2,"1004 W Whitestone Blvd, Unit 142944
Cedar Park, TX 78613",84.60%,1,1,660,Apartment,945,115,1.432,0.15
103,as163,as1631a2,"1004 W Whitestone Blvd, # 142944
Cedar Park, TX 78613",84.60%,1,1,660,Apartment,945,196,1.432,0.15
104,as163,as1631a2,"1201 W Whitestone Blvd
Cedar Park, TX 78613",76.00%,1,1.5,"1,024",Apartment,1257,1,1.232,0.02
105,as163,as1631a2,"1210 W Whitestone Xing, Unit 232731-1024
Austin, TX 78613",75.80%,1,1.5,"1,024",Apartment,1750,116,1.712,0.07
106,as163,as1631a2,"1507 Cedar Park Rd
Cedar Park, TX 78613",66.50%,1,1,"2,864",Apartment,853,1,0.302,0.58
107,as163,as1631a2,"1301 W Whitestone Blvd
Cedar Park, TX 78613",64.60%,,,,Apartment,1086,1,,0.13
108,as163,as1631a2,"1045 Silverstone Ln
Cedar Park, TX 78613",64.30%,3,2,"1,153",Single Family,2000,207,1.732,0.2
109,as163,as1631a2,"1018 Audra St
Cedar Park, TX 78613",64.20%,3,2,"1,165",Single Family,2010,1,1.732,0.21
110,as163,as1631a2,"1006 Reynaldo St
Cedar Park, TX 78613",62.60%,3,2,"1,297",Single Family,1555,10,1.202,0.27
111,as163,as1631a2,"1201 Brashear Ln
Cedar Park, TX 78613",62.30%,3,2,"1,343",Single Family,1750,58,1.302,0.23
112,as163,as1631a2,"800 Lone Star Dr
Cedar Park, TX 78613",62.20%,3,2,"1,253",Single Family,1900,207,1.522,0.49
113,as163,as1631a2,"1047 Silverstone Ln
Cedar Park, TX 78613",62.10%,3,2,"1,368",Single Family,1850,121,1.352,0.2
114,as163,as1631a2,"2006 Coachlamp Dr
Cedar Park, TX 78613",61.80%,3,2,"1,180",Single Family,1795,14,1.522,0.88
115,as163,as1631a2,"1101 Doris Ln
Cedar Park, TX 78613",61.70%,3,2,"1,316",Single Family,1900,196,1.442,0.47
116,as163,as1631a2,"703 Blue Oak Cir
Cedar Park, TX 78613",61.70%,3,2,"1,303",Single Family,1785,206,1.372,0.52
117,as163,as1631a2,"601 Doris Ln
Cedar Park, TX 78613",61.40%,1,1,"33,320",Apartment,1325,1,0.042,0.57
118,as163,as1631a2,"1004 W Whitestone Blvd, Unit 142820
Cedar Park, TX 78613",61.00%,2,2,"1,150",Apartment,1450,115,1.262,0.15
119,as163,as1631a2,"1004 W Whitestone Blvd, # 142820
Cedar Park, TX 78613",61.00%,2,2,"1,150",Apartment,1450,196,1.262,0.15
120,as163,as1631a3,"1201 W Whitestone Crossing Cedar Park
Cedar Park, TX 78613",81.40%,1,1,687,Apartment,1000,196,1.462,0.02
121,as163,as1631a3,"1210 W Whitestone Xing, Unit 232731-687
Austin, TX 78613",81.30%,1,1,687,Apartment,1195,116,1.742,0.07
122,as163,as1631a3,"1004 W Whitestone Blvd, Unit 142944
Cedar Park, TX 78613",80.20%,1,1,660,Apartment,945,115,1.432,0.15
123,as163,as1631a3,"1004 W Whitestone Blvd, # 142944
Cedar Park, TX 78613",80.20%,1,1,660,Apartment,945,196,1.432,0.15
124,as163,as1631a3,"1201 W Whitestone Blvd
Cedar Park, TX 78613",79.80%,1,1.5,"1,024",Apartment,1257,1,1.232,0.02
125,as163,as1631a3,"1210 W Whitestone Xing, Unit 232731-1024
Austin, TX 78613",79.60%,1,1.5,"1,024",Apartment,1750,116,1.712,0.07
126,as163,as1631a3,"1507 Cedar Park Rd
Cedar Park, TX 78613",67.80%,1,1,"2,864",Apartment,853,1,0.302,0.58
127,as163,as1631a3,"1045 Silverstone Ln
Cedar Park, TX 78613",67.70%,3,2,"1,153",Single Family,2000,207,1.732,0.2
128,as163,as1631a3,"1018 Audra St
Cedar Park, TX 78613",67.50%,3,2,"1,165",Single Family,2010,1,1.732,0.21
129,as163,as1631a3,"1006 Reynaldo St
Cedar Park, TX 78613",65.60%,3,2,"1,297",Single Family,1555,10,1.202,0.27
130,as163,as1631a3,"800 Lone Star Dr
Cedar Park, TX 78613",65.30%,3,2,"1,253",Single Family,1900,207,1.522,0.49
131,as163,as1631a3,"1201 Brashear Ln
Cedar Park, TX 78613",65.20%,3,2,"1,343",Single Family,1750,58,1.302,0.23
132,as163,as1631a3,"2006 Coachlamp Dr
Cedar Park, TX 78613",65.10%,3,2,"1,180",Single Family,1795,14,1.522,0.88
133,as163,as1631a3,"1047 Silverstone Ln
Cedar Park, TX 78613",65.00%,3,2,"1,368",Single Family,1850,121,1.352,0.2
134,as163,as1631a3,"1301 W Whitestone Blvd
Cedar Park, TX 78613",64.60%,,,,Apartment,1086,1,,0.13
135,as163,as1631a3,"703 Blue Oak Cir
Cedar Park, TX 78613",64.60%,3,2,"1,303",Single Family,1785,206,1.372,0.52
136,as163,as1631a3,"1101 Doris Ln
Cedar Park, TX 78613",64.60%,3,2,"1,316",Single Family,1900,196,1.442,0.47
137,as163,as1631a3,"1004 W Whitestone Blvd, Unit 142820
Cedar Park, TX 78613",64.40%,2,2,"1,150",Apartment,1450,115,1.262,0.15
138,as163,as1631a3,"1004 W Whitestone Blvd, # 142820
Cedar Park, TX 78613",64.40%,2,2,"1,150",Apartment,1450,196,1.262,0.15
139,as163,as1631a3,"1813 Woodstone Ct
Cedar Park, TX 78613",63.90%,3,2,"1,296",Single Family,2100,154,1.622,0.78
140,as163,as1631b1,"1201 W Whitestone Blvd
Cedar Park, TX 78613",86.00%,1,1.5,"1,024",Apartment,1257,1,1.232,0.02
141,as163,as1631b1,"1210 W Whitestone Xing, Unit 232731-1024
Austin, TX 78613",85.80%,1,1.5,"1,024",Apartment,1750,116,1.712,0.07
142,as163,as1631b1,"1201 W Whitestone Crossing Cedar Park
Cedar Park, TX 78613",75.90%,1,1,687,Apartment,1000,196,1.462,0.02
143,as163,as1631b1,"1210 W Whitestone Xing, Unit 232731-687
Austin, TX 78613",75.80%,1,1,687,Apartment,1195,116,1.742,0.07
144,as163,as1631b1,"1004 W Whitestone Blvd, Unit 142944
Cedar Park, TX 78613",74.90%,1,1,660,Apartment,945,115,1.432,0.15
145,as163,as1631b1,"1004 W Whitestone Blvd, # 142944
Cedar Park, TX 78613",74.90%,1,1,660,Apartment,945,196,1.432,0.15
146,as163,as1631b1,"1045 Silverstone Ln
Cedar Park, TX 78613",73.40%,3,2,"1,153",Single Family,2000,207,1.732,0.2
147,as163,as1631b1,"1018 Audra St
Cedar Park, TX 78613",73.20%,3,2,"1,165",Single Family,2010,1,1.732,0.21
148,as163,as1631b1,"1006 Reynaldo St
Cedar Park, TX 78613",71.00%,3,2,"1,297",Single Family,1555,10,1.202,0.27
149,as163,as1631b1,"800 Lone Star Dr
Cedar Park, TX 78613",70.80%,3,2,"1,253",Single Family,1900,207,1.522,0.49
150,as163,as1631b1,"2006 Coachlamp Dr
Cedar Park, TX 78613",70.80%,3,2,"1,180",Single Family,1795,14,1.522,0.88
151,as163,as1631b1,"1201 Brashear Ln
Cedar Park, TX 78613",70.50%,3,2,"1,343",Single Family,1750,58,1.302,0.23
